title,link,price
toyota rav 2007,https://atlanta.craigslist.org/atl/cto/d/mcdonough-toyota-rav-2007/6935671123.html,$1500
2004 Chevrolet Colorado Z71,https://atlanta.craigslist.org/nat/cto/d/kennesaw-2004-chevrolet-colorado-z71/6935668807.html,$5950
2004 Ford Expedition,https://atlanta.craigslist.org/atl/cto/d/atlanta-2004-ford-expedition/6935668201.html,$800
2012 Mercedes GLK350 Loaded  2012 Mercedes GLK350 Loaded 12 GLK350,https://atlanta.craigslist.org/atl/cto/d/marietta-2012-mercedes-glk350-loaded/6935667417.html,$13499
2009 Nissan Altima 2.5s,https://atlanta.craigslist.org/atl/cto/d/douglasville-2009-nissan-altima-25s/6935666986.html,$4500
2005 Chevy  Trailblazer,https://atlanta.craigslist.org/nat/cto/d/marietta-2005-chevy-trailblazer/6935666903.html,$2150
2011 Hyundai Sonata GLS,https://atlanta.craigslist.org/atl/cto/d/lawrenceville-2011-hyundai-sonata-gls/6935662988.html,$5400
2003 Chevy Impala,https://atlanta.craigslist.org/atl/cto/d/fairburn-2003-chevy-impala/6935662833.html,$700
2000 F150 SuperCab 4-door,https://atlanta.craigslist.org/atl/cto/d/auburn-2000-f150-supercab-4-door/6935661953.html,$2599
2011 Buick LaCrosse,https://atlanta.craigslist.org/sat/cto/d/forsyth-2011-buick-lacrosse/6935660350.html,$9995
2014 Ford F-150 White Crew Cab 2WD Leather Wheels F150 Low Miles Clean,https://atlanta.craigslist.org/atl/cto/d/douglasville-2014-ford-150-white-crew/6935658218.html,$19800
Truck for sale,https://atlanta.craigslist.org/wat/cto/d/douglasville-truck-for-sale/6935657024.html,$6500
"2012 Jeep Wrangler Sport - ( Dudley, Ga. )",https://atlanta.craigslist.org/eat/cto/d/dudley-2012-jeep-wrangler-sport-dudley/6935655687.html,$16500
2002  FORD EXCURSION,https://atlanta.craigslist.org/atl/cto/d/2002-ford-excursion/6935654559.html,$1800
